The model is (csv):
time,v44,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v101,v102,v129,v130,v131,v132,v133,v134,v135,v136,v137,v138,v139,v140,v141,v155,v156,v157,v158,v159,v160,v161,v162,v163,v164,v165,v166,v167,v168,v169,v170,v171,v172,v173,v174,v175,v176,v177,v178,v179,v180,v181,v182,v183,v184,v185,v186,v187,v188,v189,v190,v191,v192,v193,v194,v195,v196,v197,v198,v199,v200,v201,v202,v203,v204,v205,v206,v207,v208,v209,v210,v212,v213,v214,v215,v216,v217,v218,v219,v220,v222,v223,v224,v225,v226,v227,v228,v229,v230,v231,v232,v233,v234,v235,v236,v237,v238,v239,v240,v241,v242,v243,v244,v245,v246,v248,v249,v250,v251,v252,v253,v254,v255,v256,v257,v258,v259,v260,v261,v262,v263,v264,v265,v266,v267,v268,v269,v270,v271,v272,v273,v274,v275,v276,v277,v278,v279,v280,v282,v283,v284,v285,v286,v287,v288,v289,v290,v291,v292,v293,v294,v295,v296,v297,v298,v299,v300,v301,v302,v303,v304,v305,v306,v308,v309,v310,v311,v312,v313,v314,v315,v316,v317,v318,v319,v320,v321,v322,v323,v324,v325,v326,v327,v328
0,0,2,2,4,0,0,4,1,0,0,0,0,4,0,4,0,0,2,3,2,4,4,3,2,0,0,4,4,0,0,2,4,1,0,1,2,0,0,0,1,0,0,4,4,4,0,4,2,4,4,2,0,0,0,0,1,4,3,2,0,4,0,4,4,2,0,0,0,0,1,3,4,0,4,0,4,1,2,0,0,2,0,3,0,4,0,4,4,4,0,2,3,2,2,0,0,0,0,3,0,4,0,0,4,2,1,3,0,3,0,0,0,3,0,0,3,2,2,4,0,3,0,0,0,1,4,0,0,4,1,3,1,0,3,0,0,0,2,0,0,3,4,3,1,4,4,3,0,3,4,4,2,0,3,0,0,0,4,0,0,4,3,0,0,0,0,1,4,0,0,3,1,0,0,0,4,3,0,4,0,0,0,3,0,0,2,0,0,1,3,0,2,0,0,0,4,4,4
1,0,1,1,3,1,1,3,0,0,0,0,0,4,0,3,1,0,1,2,3,4,4,2,3,0,0,4,4,0,0,1,3,2,0,0,3,0,0,0,1,1,0,3,3,3,0,3,1,3,4,3,1,0,0,1,2,4,4,1,0,3,1,3,4,1,1,0,0,1,0,2,3,0,3,1,3,2,3,0,0,3,0,2,1,3,1,3,3,3,1,3,2,1,2,0,1,0,0,3,1,3,0,0,3,1,2,2,1,4,0,0,0,2,0,1,2,1,1,3,0,4,0,0,0,2,3,0,0,3,0,2,0,1,4,1,0,0,3,0,0,2,3,2,1,3,3,2,1,2,3,3,3,0,4,0,0,0,3,0,0,3,2,0,0,1,0,2,3,0,0,4,2,0,0,0,3,4,0,4,0,0,0,2,0,0,1,0,0,0,4,1,3,0,0,1,4,4,3
2,0,0,0,2,2,2,2,1,1,0,0,1,3,0,2,2,0,0,1,2,3,4,1,4,0,0,4,3,0,0,0,2,3,1,0,4,0,0,0,2,2,0,2,2,2,1,2,0,2,3,4,1,0,0,2,3,3,4,1,0,2,2,2,3,0,2,0,0,2,1,1,3,0,2,2,2,3,2,0,0,3,1,1,2,2,2,2,2,2,2,3,1,0,1,0,2,0,0,2,1,2,0,0,2,0,1,1,2,3,0,0,0,3,0,2,1,0,0,2,0,4,0,0,0,1,2,0,0,2,0,1,0,0,3,0,0,0,3,0,0,3,3,3,2,3,3,1,2,1,2,2,3,0,4,0,0,0,2,0,0,2,1,0,0,2,1,3,2,0,0,3,3,0,0,0,2,3,0,4,0,0,0,2,0,0,1,0,0,0,3,2,3,0,0,2,3,3,4
3,0,0,0,1,2,2,2,2,2,0,0,2,2,0,1,2,0,0,0,1,2,3,0,3,0,0,4,2,0,0,0,1,2,2,1,4,1,0,0,3,2,0,2,2,1,2,1,0,1,2,3,0,0,0,2,4,2,3,2,0,1,2,1,2,1,2,0,0,2,2,0,3,0,1,2,1,2,1,0,0,2,2,2,2,1,2,2,1,1,1,2,0,0,0,0,3,0,0,3,0,2,0,0,1,0,0,0,1,2,0,0,0,3,0,1,0,0,0,1,0,4,0,0,0,1,3,0,0,1,0,0,0,0,4,0,0,0,2,0,0,3,3,2,1,3,2,2,3,0,1,1,2,0,4,0,0,0,1,0,0,1,0,0,0,3,2,3,2,0,0,2,3,0,0,0,1,2,0,4,0,0,0,1,0,0,2,0,0,0,3,3,2,0,0,3,4,3,3
4,0,0,0,0,1,2,2,2,2,0,0,3,2,0,2,3,0,0,0,0,1,2,1,2,0,0,4,1,0,0,0,0,1,2,2,3,2,0,0,3,2,0,3,3,1,2,0,0,0,1,2,1,0,0,2,4,1,2,2,0,0,1,0,1,2,1,0,0,1,3,0,2,0,0,1,2,1,2,0,0,1,3,2,1,1,2,2,1,1,1,3,0,0,0,0,4,0,0,3,0,1,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,1,0,0,2,2,2,2,2,2,2,3,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,2,3,2,3,0,0,2,2,0,0,0,0,1,0,4,0,0,0,1,0,0,3,0,0,0,3,3,1,0,0,3,3,3,3
5,0,0,0,0,0,2,2,2,2,0,0,3,3,0,3,3,0,0,0,0,1,1,2,1,0,0,3,1,0,0,0,0,0,2,2,2,2,0,0,3,3,0,3,3,2,2,0,0,0,1,1,2,0,0,2,3,2,1,1,0,0,0,0,0,3,0,0,0,1,2,0,1,0,0,0,2,2,3,0,0,1,2,3,2,1,2,2,1,2,2,3,0,0,0,0,4,0,0,2,0,2,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,2,1,2,2,1,2,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,2,1,2,0,0,3,2,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,2,3,1,0,0,2,3,2,3
6,0,0,0,0,0,3,2,2,2,0,0,2,3,0,2,2,0,0,0,0,1,1,3,1,0,0,2,2,0,0,0,0,0,3,2,2,2,0,0,2,3,0,3,2,1,2,0,0,0,2,1,3,0,0,2,2,3,1,1,0,0,0,0,0,4,0,0,0,1,1,0,1,0,0,0,3,2,2,0,0,2,2,3,2,2,3,2,2,3,2,2,0,0,0,0,4,0,0,2,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,2,1,1,2,1,2,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,2,1,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,2,2,1,0,0,2,3,2,2
7,0,0,0,0,0,2,3,2,3,0,0,2,2,0,1,1,0,0,0,0,1,1,3,1,0,0,1,1,0,0,0,0,0,3,3,2,3,0,0,2,3,0,2,1,1,2,0,0,0,2,2,3,0,0,2,1,2,2,1,0,0,0,0,0,4,0,0,0,2,0,0,2,0,0,0,2,3,2,0,0,3,2,2,3,2,2,3,2,3,3,2,0,0,0,0,4,0,0,2,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,3,1,1,1,1,3,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,2,1,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,2,2,2,0,0,2,2,2,2
8,0,0,0,0,0,1,2,1,2,0,0,3,1,0,1,0,0,0,0,0,1,1,3,1,0,0,1,1,0,0,0,0,0,2,3,1,3,0,0,3,2,0,1,1,1,2,0,0,0,1,2,2,0,0,3,2,1,2,2,0,0,0,0,0,4,0,0,0,2,0,0,3,0,0,0,1,2,1,0,0,3,3,1,2,2,2,3,2,3,3,2,0,0,0,0,4,0,0,2,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,3,0,1,1,1,3,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,1,2,2,0,0,3,2,1,2
9,0,0,0,0,0,1,1,2,1,0,0,2,1,0,1,0,0,0,0,0,1,1,3,1,0,0,1,1,0,0,0,0,0,1,2,1,2,0,0,3,1,0,2,1,2,3,0,0,0,1,1,2,0,0,3,2,1,1,2,0,0,0,0,0,4,0,0,0,2,0,0,3,0,0,0,0,1,2,0,0,3,2,0,1,1,2,2,1,3,2,2,0,0,0,0,4,0,0,2,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,3,0,1,0,1,3,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,1,1,2,0,0,3,2,1,1
